ex_number,variant,timeSpent_activity,week,n_attempts,userId,coding,midterm,final,grade_out_of_100,grade_out_of_6,timeSpent_quiz,timeSpent_quiz_s
0.0,0.0,0.0833470092666666,1.0,3.0,0.0,85.0,50.0,64.0,64.6,4.5,19.59463948333333,1.4721198706299803
1.0,1.0,9.0777602295,2.0,4.0,0.0,85.0,50.0,64.0,64.6,4.5,3.60550045,-0.5193909665543215
2.0,0.0,1.8655855957,2.0,6.0,0.0,85.0,50.0,64.0,64.6,4.5,6.842076433333333,-0.11626255965629162
3.0,1.0,11.45931732585,3.0,3.0,0.0,85.0,50.0,64.0,64.6,4.5,3.6934976833333337,-0.5084305612779509
4.0,0.0,25.666400935866665,4.0,1.0,0.0,85.0,50.0,64.0,64.6,4.5,0.6168534333333333,-0.8916388349230897
5.0,1.0,9.497540877283337,4.0,4.0,0.0,85.0,50.0,64.0,64.6,4.5,6.022054916666666,-0.2183994998480938
6.0,0.0,0.6325159830666667,5.0,10.0,0.0,85.0,50.0,64.0,64.6,4.5,46.9796487,4.8830316475359545
7.0,1.0,13.980935847983334,8.0,1.0,0.0,85.0,50.0,64.0,64.6,4.5,18.014932933333338,1.2753611391349706
8.0,0.0,36.09489918213333,8.0,5.0,0.0,85.0,50.0,64.0,64.6,4.5,10.2269551,0.30533753608165154
9.0,1.0,24.170244645183335,9.0,1.0,0.0,85.0,50.0,64.0,64.6,4.5,1.8186262666666664,-0.7419532504505614
10.0,0.0,8.87702742105,10.0,2.0,0.0,85.0,50.0,64.0,64.6,4.5,3.885812516666667,-0.4844769841693791
11.0,1.0,7.0402990966833325,10.0,2.0,0.0,85.0,50.0,64.0,64.6,4.5,2.786274,-0.6214288780317163
12.0,1.0,23.611676859533336,11.0,16.0,0.0,85.0,50.0,64.0,64.6,4.5,40.978590133333334,4.135575943687288
13.0,0.0,30.7701931722,11.0,8.0,0.0,85.0,50.0,64.0,64.6,4.5,18.27838785,1.3081754964657397
